year_month_kyiv,oblast,raion_records,unique_raions
2026-01,Cherkaska oblast,281,4
2026-01,Chernihivska oblast,584,5
2026-01,Chernivetska oblast,30,3
2026-01,Dnipropetrovska oblast,892,7
2026-01,Donetska oblast,488,8
2026-01,Ivano-Frankivska oblast,54,6
2026-01,Kharkivska oblast,1127,7
2026-01,Khersonska oblast,365,5
2026-01,Khmelnytska oblast,49,3
2026-01,Kirovohradska oblast,336,4
2026-01,Kyivska oblast,475,7
2026-01,Lvivska oblast,70,7
2026-01,Mykolaivska oblast,311,4
2026-01,Odeska oblast,339,7
2026-01,Poltavska oblast,420,4
2026-01,Rivnenska oblast,88,4
2026-01,Sumska oblast,675,5
2026-01,Ternopilska oblast,36,3
2026-01,Vinnytska oblast,114,6
2026-01,Volynska oblast,57,4
2026-01,Zakarpatska oblast,54,6
2026-01,Zaporizka oblast,670,5
2026-01,Zhytomyrska oblast,148,4
2026-02,Cherkaska oblast,308,4
2026-02,Chernihivska oblast,514,5
2026-02,Chernivetska oblast,43,3
2026-02,Dnipropetrovska oblast,793,7
2026-02,Donetska oblast,536,8
2026-02,Ivano-Frankivska oblast,96,6
2026-02,Kharkivska oblast,1020,7
2026-02,Khersonska oblast,382,5
2026-02,Khmelnytska oblast,55,3
2026-02,Kirovohradska oblast,283,4
2026-02,Kyivska oblast,356,7
2026-02,Lvivska oblast,104,7
2026-02,Mykolaivska oblast,297,4
2026-02,Odeska oblast,425,7
2026-02,Poltavska oblast,395,4
2026-02,Rivnenska oblast,103,4
2026-02,Sumska oblast,671,5
2026-02,Ternopilska oblast,48,3
2026-02,Vinnytska oblast,158,6
2026-02,Volynska oblast,80,4
2026-02,Zakarpatska oblast,78,6
2026-02,Zaporizka oblast,455,5
2026-02,Zhytomyrska oblast,151,4
2026-03,Cherkaska oblast,262,4
2026-03,Chernihivska oblast,681,5
2026-03,Chernivetska oblast,39,3
2026-03,Dnipropetrovska oblast,1011,7
2026-03,Donetska oblast,696,8
2026-03,Ivano-Frankivska oblast,78,6
2026-03,Kharkivska oblast,1301,7
2026-03,Khersonska oblast,374,5
2026-03,Khmelnytska oblast,57,3
2026-03,Kirovohradska oblast,306,4
2026-03,Kyivska oblast,297,7
2026-03,Lvivska oblast,81,7
2026-03,Mykolaivska oblast,328,4
2026-03,Odeska oblast,638,7
2026-03,Poltavska oblast,440,4
2026-03,Rivnenska oblast,55,4
2026-03,Sumska oblast,821,5
2026-03,Ternopilska oblast,48,3
2026-03,Vinnytska oblast,190,6
2026-03,Volynska oblast,45,4
2026-03,Zakarpatska oblast,60,6
2026-03,Zaporizka oblast,990,5
2026-03,Zhytomyrska oblast,110,4
2026-04,Cherkaska oblast,243,4
2026-04,Chernihivska oblast,649,5
2026-04,Chernivetska oblast,23,3
2026-04,Dnipropetrovska oblast,782,7
2026-04,Donetska oblast,832,8
2026-04,Ivano-Frankivska oblast,46,6
2026-04,Kharkivska oblast,1206,7
2026-04,Khersonska oblast,327,5
2026-04,Khmelnytska oblast,31,3
2026-04,Kirovohradska oblast,268,4
2026-04,Kyivska oblast,282,7
2026-04,Lvivska oblast,49,7
2026-04,Mykolaivska oblast,314,4
2026-04,Odeska oblast,474,7
2026-04,Poltavska oblast,397,4
2026-04,Rivnenska oblast,29,4
2026-04,Sumska oblast,751,5
2026-04,Ternopilska oblast,27,3
2026-04,Vinnytska oblast,140,6
2026-04,Volynska oblast,32,4
2026-04,Zakarpatska oblast,49,6
2026-04,Zaporizka oblast,845,5
2026-04,Zhytomyrska oblast,93,4
2026-05,Cherkaska oblast,327,4
2026-05,Chernihivska oblast,641,5
2026-05,Chernivetska oblast,48,3
2026-05,Dnipropetrovska oblast,1050,7
2026-05,Donetska oblast,752,8
2026-05,Ivano-Frankivska oblast,85,6
2026-05,Kharkivska oblast,1481,7
2026-05,Khersonska oblast,376,5
2026-05,Khmelnytska oblast,74,3
2026-05,Kirovohradska oblast,354,4
2026-05,Kyivska oblast,453,7
2026-05,Lvivska oblast,102,7
2026-05,Mykolaivska oblast,346,4
2026-05,Odeska oblast,439,7
2026-05,Poltavska oblast,527,4
2026-05,Rivnenska oblast,82,4
2026-05,Sumska oblast,876,5
2026-05,Ternopilska oblast,48,3
2026-05,Vinnytska oblast,183,6
2026-05,Volynska oblast,58,4
2026-05,Zakarpatska oblast,90,6
2026-05,Zaporizka oblast,810,5
2026-05,Zhytomyrska oblast,176,4
2026-06,Cherkaska oblast,174,4
2026-06,Chernihivska oblast,447,5
2026-06,Chernivetska oblast,27,3
2026-06,Dnipropetrovska oblast,871,7
2026-06,Donetska oblast,432,8
2026-06,Ivano-Frankivska oblast,36,6
2026-06,Kharkivska oblast,1191,7
2026-06,Khersonska oblast,279,5
2026-06,Khmelnytska oblast,32,3
2026-06,Kirovohradska oblast,215,4
2026-06,Kyivska oblast,281,7
2026-06,Lvivska oblast,46,7
2026-06,Mykolaivska oblast,278,4
2026-06,Odeska oblast,473,7
2026-06,Poltavska oblast,329,4
2026-06,Rivnenska oblast,67,4
2026-06,Sumska oblast,641,5
2026-06,Ternopilska oblast,21,3
2026-06,Vinnytska oblast,99,6
2026-06,Volynska oblast,37,4
2026-06,Zakarpatska oblast,36,6
2026-06,Zaporizka oblast,495,5
2026-06,Zhytomyrska oblast,96,4
