oblast,raion,months_present,total_2026_months,present_all_2026_months
Cherkaska oblast,Cherkaskyi raion,6,6,True
Cherkaska oblast,Umanskyi raion,6,6,True
Cherkaska oblast,Zolotoniskyi raion,6,6,True
Cherkaska oblast,Zvenyhorodskyi raion,6,6,True
Chernihivska oblast,Chernihivskyi raion,6,6,True
Chernihivska oblast,Koriukivskyi raion,6,6,True
Chernihivska oblast,Nizhynskyi raion,6,6,True
Chernihivska oblast,Novhorod-Siverskyi raion,6,6,True
Chernihivska oblast,Prylutskyi raion,6,6,True
Chernivetska oblast,Chernivetskyi raion,6,6,True
Chernivetska oblast,Dnistrovskyi raion,6,6,True
Chernivetska oblast,Vyzhnytskyi raion,6,6,True
Dnipropetrovska oblast,Dniprovskyi raion,6,6,True
Dnipropetrovska oblast,Kamianskyi raion,6,6,True
Dnipropetrovska oblast,Kryvorizkyi raion,6,6,True
Dnipropetrovska oblast,Nikopolskyi raion,6,6,True
Dnipropetrovska oblast,Pavlohradskyi raion,6,6,True
Dnipropetrovska oblast,Samarivskyi raion,6,6,True
Dnipropetrovska oblast,Synelnykivskyi raion,6,6,True
Donetska oblast,Bakhmutskyi raion,6,6,True
Donetska oblast,Donetskyi raion,6,6,True
Donetska oblast,Horlivskyi raion,6,6,True
Donetska oblast,Kalmiuskyi raion,6,6,True
Donetska oblast,Kramatorskyi raion,6,6,True
Donetska oblast,Mariupolskyi raion,6,6,True
Donetska oblast,Pokrovskyi raion,6,6,True
Donetska oblast,Volnovaskyi raion,6,6,True
Ivano-Frankivska oblast,Ivano-Frankivskyi raion,6,6,True
Ivano-Frankivska oblast,Kaluskyi raion,6,6,True
Ivano-Frankivska oblast,Kolomyiskyi raion,6,6,True
Ivano-Frankivska oblast,Kosivskyi raion,6,6,True
Ivano-Frankivska oblast,Nadvirnianskyi raion,6,6,True
Ivano-Frankivska oblast,Verkhovynskyi raion,6,6,True
Kharkivska oblast,Bohodukhivskyi raion,6,6,True
Kharkivska oblast,Chuhuivskyi raion,6,6,True
Kharkivska oblast,Iziumskyi raion,6,6,True
Kharkivska oblast,Kharkivskyi raion,6,6,True
Kharkivska oblast,Krasnohradskyi raion,6,6,True
Kharkivska oblast,Kupianskyi raion,6,6,True
Kharkivska oblast,Lozivskyi raion,6,6,True
Khersonska oblast,Beryslavskyi raion,6,6,True
Khersonska oblast,Henicheskyi raion,6,6,True
Khersonska oblast,Kakhovskyi raion,6,6,True
Khersonska oblast,Khersonskyi raion,6,6,True
Khersonska oblast,Skadovskyi raion,6,6,True
Khmelnytska oblast,Kamianets-Podilskyi raion,6,6,True
Khmelnytska oblast,Khmelnytskyi raion,6,6,True
Khmelnytska oblast,Shepetivskyi raion,6,6,True
Kirovohradska oblast,Holovanivskyi raion,6,6,True
Kirovohradska oblast,Kropyvnytskyi raion,6,6,True
Kirovohradska oblast,Novoukrainskyi raion,6,6,True
Kirovohradska oblast,Oleksandriiskyi raion,6,6,True
Kyivska oblast,Bilotserkivskyi raion,6,6,True
Kyivska oblast,Boryspilskyi raion,6,6,True
Kyivska oblast,Brovarskyi raion,6,6,True
Kyivska oblast,Buchanskyi raion,6,6,True
Kyivska oblast,Fastivskyi raion,6,6,True
Kyivska oblast,Obukhivskyi raion,6,6,True
Kyivska oblast,Vyshhorodskyi raion,6,6,True
Lvivska oblast,Chervonohradskyi raion,6,6,True
Lvivska oblast,Drohobytskyi raion,6,6,True
Lvivska oblast,Lvivskyi raion,6,6,True
Lvivska oblast,Sambirskyi raion,6,6,True
Lvivska oblast,Stryiskyi raion,6,6,True
Lvivska oblast,Yavorivskyi raion,6,6,True
Lvivska oblast,Zolochivskyi raion,6,6,True
Mykolaivska oblast,Bashtanskyi raion,6,6,True
Mykolaivska oblast,Mykolaivskyi raion,6,6,True
Mykolaivska oblast,Pervomaiskyi raion,6,6,True
Mykolaivska oblast,Voznesenskyi raion,6,6,True
Odeska oblast,Berezivskyi raion,6,6,True
Odeska oblast,Bilhorod-Dnistrovskyi raion,6,6,True
Odeska oblast,Bolhradskyi raion,6,6,True
Odeska oblast,Izmailskyi raion,6,6,True
Odeska oblast,Odeskyi raion,6,6,True
Odeska oblast,Podilskyi raion,6,6,True
Odeska oblast,Rozdilnianskyi raion,6,6,True
Poltavska oblast,Kremenchutskyi raion,6,6,True
Poltavska oblast,Lubenskyi raion,6,6,True
Poltavska oblast,Myrhorodskyi raion,6,6,True
Poltavska oblast,Poltavskyi raion,6,6,True
Rivnenska oblast,Dubenskyi raion,6,6,True
Rivnenska oblast,Rivnenskyi raion,6,6,True
Rivnenska oblast,Sarnenskyi raion,6,6,True
Rivnenska oblast,Varaskyi raion,6,6,True
Sumska oblast,Konotopskyi raion,6,6,True
Sumska oblast,Okhtyrskyi raion,6,6,True
Sumska oblast,Romenskyi raion,6,6,True
Sumska oblast,Shostkynskyi raion,6,6,True
Sumska oblast,Sumskyi raion,6,6,True
Ternopilska oblast,Chortkivskyi raion,6,6,True
Ternopilska oblast,Kremenetskyi raion,6,6,True
Ternopilska oblast,Ternopilskyi raion,6,6,True
Vinnytska oblast,Haisynskyi raion,6,6,True
Vinnytska oblast,Khmilnytskyi raion,6,6,True
Vinnytska oblast,Mohyliv-Podilskyi raion,6,6,True
Vinnytska oblast,Tulchynskyi raion,6,6,True
Vinnytska oblast,Vinnytskyi raion,6,6,True
Vinnytska oblast,Zhmerynskyi raion,6,6,True
Volynska oblast,Kamin-Kashyrskyi raion,6,6,True
Volynska oblast,Kovelskyi raion,6,6,True
Volynska oblast,Lutskyi raion,6,6,True
Volynska oblast,Volodymyr-Volynskyi raion,6,6,True
Zakarpatska oblast,Berehivskyi raion,6,6,True
Zakarpatska oblast,Khustskyi raion,6,6,True
Zakarpatska oblast,Mukachivskyi raion,6,6,True
Zakarpatska oblast,Rakhivskyi raion,6,6,True
Zakarpatska oblast,Tiachivskyi raion,6,6,True
Zakarpatska oblast,Uzhhorodskyi raion,6,6,True
Zaporizka oblast,Berdianskyi raion,6,6,True
Zaporizka oblast,Melitopolskyi raion,6,6,True
Zaporizka oblast,Polohivskyi raion,6,6,True
Zaporizka oblast,Vasylivskyi raion,6,6,True
Zaporizka oblast,Zaporizkyi raion,6,6,True
Zhytomyrska oblast,Berdychivskyi raion,6,6,True
Zhytomyrska oblast,Korostenskyi raion,6,6,True
Zhytomyrska oblast,Zhytomyrskyi raion,6,6,True
Zhytomyrska oblast,Zviahelskyi raion,6,6,True
