year_month_kyiv,total_records,oblast,raion,hromada,oblast_share,raion_share,hromada_share
2022-03,1640,985,252,403,0.600609756097561,0.15365853658536585,0.24573170731707317
2022-04,2471,1761,318,392,0.7126669364629704,0.12869283690813435,0.15864022662889518
2022-05,2220,1704,126,390,0.7675675675675676,0.05675675675675676,0.17567567567567569
2022-06,1904,1431,104,369,0.7515756302521008,0.0546218487394958,0.19380252100840337
2022-07,1592,1216,40,336,0.7638190954773869,0.02512562814070352,0.21105527638190955
2022-08,1938,1580,13,345,0.8152734778121775,0.006707946336429308,0.1780185758513932
2022-09,1841,1496,26,319,0.8126018468223791,0.014122759369907659,0.1732753938077132
2022-10,1752,1525,2,225,0.8704337899543378,0.001141552511415525,0.1284246575342466
2022-11,1054,942,1,111,0.8937381404174574,0.0009487666034155598,0.10531309297912714
2022-12,1063,975,2,86,0.9172154280338665,0.0018814675446848542,0.08090310442144873
2023-01,1024,945,3,76,0.9228515625,0.0029296875,0.07421875
2023-02,1179,1100,0,79,0.9329940627650551,0.0,0.06700593723494487
2023-03,1460,1386,0,74,0.9493150684931507,0.0,0.050684931506849315
2023-04,866,796,1,69,0.9191685912240185,0.0011547344110854503,0.07967667436489607
2023-05,1419,1331,1,87,0.937984496124031,0.0007047216349541931,0.0613107822410148
2023-06,1437,1375,2,60,0.9568545581071677,0.0013917884481558804,0.04175365344467641
2023-07,1495,1440,0,55,0.9632107023411371,0.0,0.03678929765886288
2023-08,2012,1920,4,88,0.9542743538767395,0.0019880715705765406,0.0437375745526839
2023-09,1523,1439,1,83,0.9448456992777413,0.0006565988181221273,0.054497701904136574
2023-10,1656,1527,0,129,0.9221014492753623,0.0,0.07789855072463768
2023-11,1518,1367,0,151,0.9005270092226614,0.0,0.09947299077733861
2023-12,1788,1632,0,156,0.912751677852349,0.0,0.087248322147651
2024-01,1937,1740,1,196,0.8982963345379453,0.0005162622612287042,0.10118740320082602
2024-02,1838,1430,0,408,0.7780195865070729,0.0,0.2219804134929271
2024-03,2773,2209,0,564,0.7966101694915254,0.0,0.2033898305084746
2024-04,2223,1764,0,459,0.7935222672064778,0.0,0.20647773279352227
2024-05,2736,2187,0,549,0.7993421052631579,0.0,0.20065789473684212
2024-06,2517,2047,0,470,0.813269765593961,0.0,0.18673023440603895
2024-07,2284,1911,0,373,0.8366900175131349,0.0,0.16330998248686515
2024-08,2207,1901,0,306,0.8613502492070684,0.0,0.13864975079293157
2024-09,2115,1799,0,316,0.8505910165484634,0.0,0.14940898345153664
2024-10,1997,1694,1,302,0.8482724086129194,0.000500751126690035,0.1512268402603906
2024-11,1803,1531,1,271,0.8491403216860788,0.0005546311702717693,0.15030504714364948
2024-12,1704,1421,1,282,0.8339201877934272,0.0005868544600938967,0.16549295774647887
2025-01,2024,1640,149,235,0.8102766798418972,0.07361660079051384,0.11610671936758893
2025-02,1971,1509,130,332,0.7656012176560122,0.06595636732623034,0.16844241501775747
2025-03,2004,1402,130,472,0.6996007984031936,0.06487025948103792,0.23552894211576847
2025-04,2228,1496,91,641,0.6714542190305206,0.040843806104129264,0.2877019748653501
2025-05,2268,1354,317,597,0.5970017636684304,0.13977072310405644,0.26322751322751325
2025-06,2427,1455,341,631,0.5995055624227441,0.14050267820354348,0.2599917593737124
2025-07,3060,1776,588,696,0.5803921568627451,0.19215686274509805,0.22745098039215686
2025-08,4178,1118,2429,631,0.2675921493537578,0.5813786500718047,0.15102920057443753
2025-09,4737,704,3463,570,0.14861726831327846,0.7310534093308001,0.12032932235592148
2025-10,4923,716,3512,695,0.14543977249644527,0.7133861466585415,0.1411740808450132
2025-11,8089,165,7219,705,0.02039807145506243,0.8924465323278526,0.08715539621708493
2025-12,8058,24,7340,694,0.0029784065524944155,0.9108960039712087,0.08612558947629685
2026-01,8426,58,7663,705,0.00688345596961785,0.9094469499169238,0.08366959411345834
2026-02,7930,41,7351,538,0.005170239596469105,0.9269861286254729,0.06784363177805801
2026-03,9746,39,8908,799,0.004001641699158629,0.9140160065667966,0.08198235173404474
2026-04,8613,35,7889,689,0.0040636247532799255,0.9159410193892953,0.07999535585742483
2026-05,10085,58,9378,649,0.0057511155180961825,0.9298958849776896,0.06435299950421418
2026-06,7101,35,6603,463,0.004928883255879453,0.9298690325306295,0.06520208421349105
