oblast,raion,hromada,level,started_at,finished_at,duration_hours,duration_days,multiplicity
Kharkivska oblast,Kharkivskyi raion,Lypetska terytorialna hromada,hromada,2024-05-12 08:37:29+00:00,2026-01-06 09:53:57+00:00,14497.274444444445,604.0531018518519,1
Kharkivska oblast,Chuhuivskyi raion,Vovchanska terytorialna hromada,hromada,2024-05-20 09:31:41+00:00,2025-08-01 22:52:43+00:00,10525.350555555555,438.55627314814814,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-03-23 21:53:07+00:00,2026-04-19 05:12:29+00:00,631.3227777777778,26.305115740740742,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-02-24 14:01:55+00:00,2025-03-17 03:07:56+00:00,493.10027777777776,20.545844907407407,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-03-03 20:50:20+00:00,2026-03-23 17:54:21+00:00,477.06694444444446,19.877789351851852,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-01-12 07:37:02+00:00,2025-01-25 06:46:14+00:00,311.1533333333333,12.964722222222221,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-04-07 10:50:26+00:00,2025-04-20 05:27:01+00:00,306.6097222222222,12.775405092592592,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-02-21 09:46:42+00:00,2026-03-02 17:20:09+00:00,223.5575,9.314895833333333,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-02-05 20:08:27+00:00,2026-02-14 07:37:42+00:00,203.4875,8.478645833333333,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2024-12-15 11:52:36+00:00,2024-12-23 09:49:58+00:00,189.9561111111111,7.914837962962963,1
Dnipropetrovska oblast,Nikopolskyi raion,m. Marhanets ta Marhanetska terytorialna hromada,hromada,2026-05-12 08:48:04+00:00,2026-05-20 05:28:02+00:00,188.66611111111112,7.861087962962963,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-08-06 08:51:10+00:00,2025-08-13 14:19:27+00:00,173.4713888888889,7.227974537037038,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-02-14 12:15:08+00:00,2026-02-21 09:39:05+00:00,165.39916666666667,6.891631944444445,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-12-08 14:37:22+00:00,2025-12-15 11:32:56+00:00,164.9261111111111,6.871921296296296,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-01-30 12:48:19+00:00,2026-02-05 16:04:11+00:00,147.26444444444445,6.136018518518519,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-01-24 09:28:23+00:00,2026-01-30 11:47:46+00:00,146.32305555555556,6.096793981481482,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-01-18 12:31:12+00:00,2026-01-24 07:12:44+00:00,138.69222222222223,5.778842592592593,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2025-04-01 11:52:49+00:00,2025-04-07 05:46:29+00:00,137.89444444444445,5.745601851851852,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-02-18 15:16:56+00:00,2025-02-24 08:35:36+00:00,137.3111111111111,5.721296296296296,1
Dnipropetrovska oblast,Nikopolskyi raion,m. Marhanets ta Marhanetska terytorialna hromada,hromada,2025-02-17 15:38:56+00:00,2025-02-23 07:24:17+00:00,135.75583333333333,5.656493055555555,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-12-31 19:12:45+00:00,2026-01-06 09:18:48+00:00,134.10083333333333,5.587534722222222,1
Dnipropetrovska oblast,Nikopolskyi raion,Myrivska terytorialna hromada,hromada,2024-09-22 05:05:51+00:00,2024-09-27 15:24:30+00:00,130.31083333333333,5.429618055555555,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-08-16 11:38:31+00:00,2025-08-21 16:19:52+00:00,124.68916666666667,5.195381944444445,1
Dnipropetrovska oblast,Nikopolskyi raion,m. Marhanets ta Marhanetska terytorialna hromada,hromada,2025-03-09 07:08:38+00:00,2025-03-14 10:51:54+00:00,123.72111111111111,5.155046296296296,1
Zakarpatska oblast,Mukachivskyi raion,,raion,2025-11-19 08:28:49+00:00,2025-11-24 10:40:09+00:00,122.18888888888888,5.0912037037037035,1
Zakarpatska oblast,Berehivskyi raion,,raion,2025-11-19 08:29:40+00:00,2025-11-24 10:40:05+00:00,122.17361111111111,5.09056712962963,1
Dnipropetrovska oblast,Nikopolskyi raion,m. Marhanets ta Marhanetska terytorialna hromada,hromada,2025-03-02 10:41:12+00:00,2025-03-07 12:41:42+00:00,122.00833333333334,5.0836805555555555,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2026-01-11 16:43:01+00:00,2026-01-16 17:09:43+00:00,120.445,5.018541666666667,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-09-01 14:18:03+00:00,2025-09-06 10:30:32+00:00,116.20805555555556,4.842002314814815,1
Dnipropetrovska oblast,Nikopolskyi raion,Chervonohryhorivska terytorialna hromada,hromada,2025-07-13 20:04:38+00:00,2025-07-18 11:57:06+00:00,111.87444444444445,4.661435185185185,1
