year_month_kyiv,records,duplicate_instances,duplicate_excess,duplicate_instance_rate,duplicate_excess_rate
2022-03,3280,3280,1640,1.0,0.5
2022-04,4942,4942,2471,1.0,0.5
2022-05,4440,4440,2220,1.0,0.5
2022-06,3808,3808,1904,1.0,0.5
2022-07,3184,3184,1592,1.0,0.5
2022-08,3876,3876,1938,1.0,0.5
2022-09,3682,3682,1841,1.0,0.5
2022-10,3504,3504,1752,1.0,0.5
2022-11,2108,2108,1054,1.0,0.5
2022-12,2126,2126,1063,1.0,0.5
2023-01,2048,2048,1024,1.0,0.5
2023-02,2358,2358,1179,1.0,0.5
2023-03,2920,2920,1460,1.0,0.5
2023-04,1732,1732,866,1.0,0.5
2023-05,2838,2838,1419,1.0,0.5
2023-06,2874,2874,1437,1.0,0.5
2023-07,2990,2990,1495,1.0,0.5
2023-08,4024,4024,2012,1.0,0.5
2023-09,3046,3046,1523,1.0,0.5
2023-10,3312,3312,1656,1.0,0.5
2023-11,3036,3036,1518,1.0,0.5
2023-12,3576,3576,1788,1.0,0.5
2024-01,3874,3874,1937,1.0,0.5
2024-02,3676,3676,1838,1.0,0.5
2024-03,5546,5546,2773,1.0,0.5
2024-04,4446,4446,2223,1.0,0.5
2024-05,5472,5472,2736,1.0,0.5
2024-06,5034,5034,2517,1.0,0.5
2024-07,4568,4568,2284,1.0,0.5
2024-08,4414,4414,2207,1.0,0.5
2024-09,4230,4230,2115,1.0,0.5
2024-10,3994,3994,1997,1.0,0.5
2024-11,3606,3606,1803,1.0,0.5
2024-12,3408,3408,1704,1.0,0.5
2025-04,4456,4456,2228,1.0,0.5
2025-03,4008,4008,2004,1.0,0.5
2025-07,6120,6120,3060,1.0,0.5
2025-08,8356,8356,4178,1.0,0.5
2025-05,4536,4536,2268,1.0,0.5
2025-06,4854,4854,2427,1.0,0.5
2025-09,9474,9474,4737,1.0,0.5
2025-10,9838,9830,4915,0.9991868265907705,0.49959341329538526
2025-01,4044,4040,2020,0.9990108803165183,0.49950544015825915
2025-02,3938,3934,1967,0.9989842559674962,0.4994921279837481
2025-12,16092,16068,8034,0.9985085756897838,0.4992542878448919
2025-11,16142,16106,8053,0.9977697930863586,0.4988848965431793
2026-01,15394,13936,6968,0.9052877744575809,0.45264388722879045
2026-02,7930,0,0,0.0,0.0
2026-03,9746,0,0,0.0,0.0
2026-04,8613,0,0,0.0,0.0
2026-05,10085,0,0,0.0,0.0
2026-06,7101,0,0,0.0,0.0
