oblast,records,duplicate_instances,duplicate_excess,duplicate_instance_rate,duplicate_excess_rate
Luhanska oblast,2,2,1,1.0,0.5
Kyiv City,3959,3748,1874,0.9467037130588533,0.47335185652942663
Khmelnytska oblast,2865,2614,1307,0.91239092495637,0.456195462478185
Ternopilska oblast,2086,1894,947,0.9079578139980825,0.45397890699904125
Chernivetska oblast,1908,1728,864,0.9056603773584906,0.4528301886792453
Mykolaivska oblast,14293,12702,6351,0.8886867697474288,0.4443433848737144
Volynska oblast,2125,1860,930,0.8752941176470588,0.4376470588235294
Rivnenska oblast,2653,2298,1149,0.866189219751225,0.4330946098756125
Dnipropetrovska oblast,42175,36468,18234,0.8646828689982217,0.43234143449911083
Donetska oblast,26709,23016,11508,0.8617320004492868,0.4308660002246434
Kirovohradska oblast,10593,9112,4556,0.8601906919663929,0.43009534598319643
Cherkaska oblast,9526,8160,4080,0.8566029813142977,0.42830149065714884
Poltavska oblast,14544,12370,6185,0.8505225522552256,0.4252612761276128
Zakarpatska oblast,2015,1702,851,0.8446650124069479,0.42233250620347396
Ivano-Frankivska oblast,2185,1844,922,0.8439359267734554,0.4219679633867277
Khersonska oblast,11260,9500,4750,0.8436944937833037,0.4218472468916519
Lvivska oblast,2331,1944,972,0.833976833976834,0.416988416988417
Vinnytska oblast,4550,3776,1888,0.8298901098901099,0.41494505494505496
Zhytomyrska oblast,4367,3600,1800,0.8243645523242501,0.41218227616212505
Kyivska oblast,9679,7948,3974,0.8211592106622585,0.41057960533112925
Zaporizka oblast,24716,20264,10132,0.8198737659815504,0.4099368829907752
Sumska oblast,18902,14978,7489,0.7924029203258914,0.3962014601629457
Kharkivska oblast,35250,27682,13841,0.7853049645390071,0.39265248226950356
Odeska oblast,10864,8390,4195,0.7722754050073638,0.3861377025036819
Chernihivska oblast,13142,10090,5045,0.7677674630954192,0.3838837315477096
