oblast,count,mean,std,min,25%,50%,75%,90%,95%,max
Cherkaska oblast,1615.0,57.424984520123836,82.69662869833607,1.2333333333333334,17.366666666666667,27.78333333333333,51.61666666666667,135.9666666666667,250.2583333333333,550.9666666666667
Chernihivska oblast,3543.0,137.71889171135572,171.33341693035533,0.45,36.55833333333334,77.6,160.73333333333335,334.1300000000001,479.02333333333326,1655.2833333333333
Chernivetska oblast,216.0,62.24675925925927,73.46157588540838,7.383333333333334,21.725,30.48333333333333,76.66666666666667,130.58333333333334,195.7583333333333,410.75
Dnipropetrovska oblast,5458.0,108.29898314400882,188.84295252073693,0.1666666666666666,27.1375,49.33333333333333,110.99166666666667,238.75333333333336,380.5416666666664,3851.6666666666665
Donetska oblast,3760.0,471.14074468085107,617.4408682245862,7.116666666666666,97.43333333333334,266.48333333333335,606.2166666666667,1257.8216666666663,1448.15,5265.2
Ivano-Frankivska oblast,407.0,53.45135135135134,62.40657704269457,11.766666666666667,22.008333333333333,28.3,58.4,104.16666666666669,143.01666666666668,366.56666666666666
Kharkivska oblast,7386.0,111.62386045671991,140.58627788595396,0.1833333333333333,30.416666666666668,63.44166666666666,132.87083333333334,262.1166666666667,388.7625,2198.333333333333
Khersonska oblast,2130.0,69.49064945226917,93.23262770016838,0.2166666666666666,21.566666666666663,35.34166666666667,71.81666666666666,165.895,264.9833333333333,864.2333333333333
Khmelnytska oblast,304.0,68.79248903508771,71.72135298897395,3.7,23.175,41.724999999999994,89.85,151.53666666666666,205.5741666666655,432.6166666666667
Kirovohradska oblast,1786.0,58.11747853676745,85.16253093095662,0.6333333333333333,17.9,29.991666666666667,54.65,121.725,236.34999999999997,676.55
Kyivska oblast,2158.0,72.58569663268457,97.71265755773685,0.0833333333333333,19.90833333333333,32.53333333333333,76.125,184.98833333333332,281.7891666666672,930.2666666666668
Lvivska oblast,466.0,49.67564377682403,57.85795678697231,7.2,21.666666666666668,28.616666666666667,54.18333333333333,90.81666666666666,166.39166666666665,366.1166666666667
Mykolaivska oblast,1896.0,53.057454289732775,68.72195268909483,0.1,19.08333333333333,30.55,56.74583333333334,108.24166666666667,168.8875,602.5333333333333
Odeska oblast,2818.0,48.32327892122073,53.42056729262329,0.1,18.974999999999998,31.141666666666666,54.99166666666666,104.25333333333339,143.46583333333336,473.4
Poltavska oblast,2536.0,73.63702024185069,106.38676723185341,1.5333333333333334,20.312499999999996,35.53333333333333,73.2,171.91666666666669,295.0416666666667,1000.75
Rivnenska oblast,432.0,74.80532407407406,73.6389421076835,3.2333333333333334,25.35,48.31666666666666,94.05,162.66500000000008,204.5933333333333,479.9333333333333
Sumska oblast,4466.0,129.69454022988506,160.69848503116486,0.0666666666666666,35.2375,72.75,152.9125,315.6,464.1958333333333,1477.1833333333334
Ternopilska oblast,234.0,62.623290598290595,71.19051312055045,7.466666666666667,23.1,36.675,73.01666666666667,126.05500000000004,219.1608333333328,366.45
Vinnytska oblast,902.0,69.39279379157428,87.60702196879578,3.8666666666666663,19.85,31.566666666666663,75.16666666666667,193.3,266.92999999999955,514.55
Volynska oblast,317.0,54.22213459516298,58.680278719976435,9.366666666666667,21.966666666666665,34.233333333333334,61.766666666666666,97.35000000000001,145.04999999999998,365.76666666666665
Zakarpatska oblast,379.0,46.37436235708003,55.50940037885286,3.6,20.98333333333333,26.8,47.9,90.68333333333334,124.86666666666666,365.3
Zaporizka oblast,4295.0,227.9560496701591,280.19391152282947,5.233333333333333,44.11666666666667,144.21666666666667,295.3833333333333,569.1666666666666,713.7,2495.4166666666665
Zhytomyrska oblast,782.0,82.57333759590793,98.58367331187225,1.95,22.654166666666665,39.36666666666667,109.17500000000001,207.09333333333325,298.54333333333335,750.2
