month,level,records
2022-03,oblast,985
2022-04,oblast,1761
2022-05,oblast,1704
2022-06,oblast,1431
2022-07,oblast,1216
2022-08,oblast,1580
2022-09,oblast,1496
2022-10,oblast,1525
2022-11,oblast,942
2022-12,oblast,975
2023-01,oblast,945
2023-02,oblast,1100
2023-03,oblast,1386
2023-04,oblast,796
2023-05,oblast,1331
2023-06,oblast,1375
2023-07,oblast,1440
2023-08,oblast,1920
2023-09,oblast,1439
2023-10,oblast,1527
2023-11,oblast,1367
2023-12,oblast,1632
2024-01,oblast,1740
2024-02,oblast,1430
2024-03,oblast,2209
2024-04,oblast,1764
2024-05,oblast,2187
2024-06,oblast,2047
2024-07,oblast,1911
2024-08,oblast,1901
2024-09,oblast,1799
2024-10,oblast,1694
2024-11,oblast,1531
2024-12,oblast,1421
2025-01,oblast,1640
2025-02,oblast,1509
2025-03,oblast,1402
2025-04,oblast,1496
2025-05,oblast,1354
2025-06,oblast,1455
2025-07,oblast,1776
